name,last_name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,code,player_id,club_id,country_of_birth,city_of_birth
,João Pedro,55,2003-02-02,21,1.78,Brazil,Attack - Right Winger,right,2023-10-16,2026-12-31,,joao-pedro,987503,,Brazil,Paracambi
,Fernando,0,2005-04-12,19,1.75,Brazil,Attack - Right Winger,,2024-03-21,2024-10-31,,fernando,1091608,,Brazil,São Bernardo do Campo
,Robert,80,2005-04-13,19,1.74,Brazil,Attack - Left Winger,right,2023-10-01,2027-12-31,,robert,1084714,,Brazil,Pirapora
,Stênio,11,2003-04-05,21,1.8,Brazil,Attack - Right Winger,right,2024-01-19,2024-06-30,adidas,stenio,796574,,Brazil,Poços de Caldas
,Denilson Goulart,0,2003-07-26,20,1.74,Brazil,Attack - Left Winger,left,2024-05-10,,,denilson-goulart,981494,,Brazil,Bagé
,Bruno Rodrigues,11,1997-03-07,27,1.77,Brazil,Attack - Left Winger,right,2024-01-01,2028-12-31,Nike,bruno-rodrigues,406766,,Brazil,Ceará-Mirim
,Paulo Vitor,75,1999-06-24,24,1.68,Brazil,Attack - Right Winger,right,2024-01-17,2024-11-30,,paulo-vitor,524572,,Brazil,Rio de Janeiro
,Rafael Bilu,31,1999-04-21,25,1.74,Brazil,Attack - Right Winger,left,2023-01-01,2024-12-31,Nike,rafael-bilu,625333,,Brazil,São Paulo
,Juan Christian,0,2001-03-10,23,1.77,Brazil,Attack - Left Winger,right,2023-08-02,2025-12-31,Nike,juan-christian,1010016,,Brazil,São Bernardo do Campo
,Arthur Gomes,11,1998-07-03,25,1.74,Brazil,Attack - Left Winger,right,2023-07-15,2026-12-31,adidas,arthur-gomes,401534,,Brazil,Uberlândia
,Daniel Jr,80,2002-05-09,22,1.74,Brazil,Midfield - Attacking Midfield,left,2024-01-17,2025-12-31,,daniel-jr,746358,,Brazil,Santo André
,Wesley,21,1999-03-30,25,1.75,Brazil,Attack - Left Winger,right,2024-02-16,2026-12-31,adidas,wesley,674732,,Brazil,Salvador
,Nikão,11,1992-07-29,31,1.74,Brazil,Midfield - Attacking Midfield,left,2024-04-19,2024-12-31,,nikao,149572,,Brazil,Belo Horizonte
,Ramiro,17,1993-05-22,30,1.69,Brazil,Midfield - Central Midfield,right,2023-01-01,2024-12-31,Mizuno,ramiro,258070,,Brazil,Gramado
,Matheus Pereira,10,1996-05-05,28,1.75,Brazil,Midfield - Attacking Midfield,left,2023-07-24,2024-06-30,Nike,matheus-pereira,225984,,Brazil,Belo Horizonte
,Mateus Vital,7,1998-02-12,26,1.75,Brazil,Midfield - Attacking Midfield,right,2023-01-01,2025-12-31,Nike,mateus-vital,408958,,Brazil,Rio de Janeiro
,Japa,77,2004-01-02,20,1.86,Brazil,Midfield - Central Midfield,left,2024-01-01,2027-12-31,Nike,japa,432157,,,
,Henrique Rodrigues,0,2003-02-22,21,1.8,Brazil,Midfield - Defensive Midfield,right,2024-02-22,2024-12-31,,henrique-rodrigues,1083235,,,
,Wallisson,77,1997-09-23,26,1.84,Brazil,Midfield - Defensive Midfield,right,2024-03-22,2024-11-30,adidas,wallisson,742073,,Brazil,Central de Minas
,Neto Moura,0,1996-08-06,27,1.76,Brazil,Midfield - Defensive Midfield,right,2023-08-02,2024-12-31,Nike,neto-moura,329843,,Brazil,Atalaia
,Richard,25,1994-02-18,30,1.91,Brazil,Midfield - Defensive Midfield,right,2023-07-03,2025-06-30,Puma,richard,530737,,Brazil,Campinas
,Filipe Machado,23,1996-01-20,28,1.74,Brazil,Midfield - Defensive Midfield,right,2022-01-24,2025-12-31,adidas,filipe-machado,520629,,Brazil,Santa Maria
,Fernando Henrique,0,2001-06-01,22,1.82,Brazil,Midfield - Defensive Midfield,both,2024-03-01,2024-12-31,adidas,fernando-henrique,815673,,Brazil,São José de Mipibu
,Igor Formiga,33,1999-01-08,25,1.77,Brazil,Defender - Right-Back,right,2023-07-06,2027-06-30,Nike,igor-formiga,688690,,Brazil,Rio de Janeiro
,Ian Luccas,0,2003-02-11,21,1.88,Brazil,Midfield - Central Midfield,right,2024-02-28,2024-12-31,Nike,ian-luccas,796796,,Brazil,Ribeirão Preto
,Matheus Jussa,22,1996-03-22,28,1.83,Brazil,Midfield - Defensive Midfield,left,2024-02-12,2025-12-31,Nike,matheus-jussa,347909,,Brazil,São Paulo
,Wesley Gasolina,2,2000-03-13,24,1.7,Brazil,Defender - Right-Back,right,2022-08-08,2024-12-31,Nike,wesley-gasolina,371967,,Brazil,Retirolândia
,William,12,1995-04-03,29,1.76,Brazil,Defender - Right-Back,right,2023-01-01,2026-12-31,adidas,william,341710,,Brazil,Pelotas
,Kaiki,6,2003-03-08,21,1.72,Brazil,Defender - Left-Back,left,2023-01-01,2025-12-31,adidas,kaiki,879217,,Brazil,Betim
Helibelton,Palacios,28,1993-06-11,30,1.81,Colombia,Defender - Right-Back,right,2023-07-01,2025-12-31,,helibelton-palacios,211389,,Colombia,Santander de Quilichao
,Marquinhos Cipriano,6,1999-02-09,25,1.73,Brazil,Defender - Left-Back,left,2023-07-01,2025-05-31,,marquinhos-cipriano,569805,,Brazil,Catanduva
,Marlon,3,1997-05-20,27,1.78,Brazil,Defender - Left-Back,left,2023-03-10,2026-12-31,Nike,marlon,406675,,Brazil,Cascavel
,Pedrão,35,2004-01-06,20,1.86,Brazil,Defender - Centre-Back,right,2024-02-01,2025-12-31,Nike,pedrao,1019701,,Brazil,Barra Mansa
,Ruan Santos,0,2003-10-14,20,1.87,Brazil,Defender - Centre-Back,right,2024-03-01,2024-12-31,Puma,ruan-santos,991801,,Brazil,Santos
,Lucas Oliveira,12,1996-02-02,28,1.87,Brazil,Defender - Centre-Back,right,2024-02-01,2024-06-30,adidas,lucas-oliveira,592373,,Brazil,Rio de Janeiro
,João Marcelo,43,2000-06-13,23,1.89,Brazil,Defender - Centre-Back,right,2023-08-01,2024-06-30,Nike,joao-marcelo,744024,,Brazil,Rio de Janeiro
,Reynaldo,40,1997-01-03,27,1.86,Brazil,Defender - Centre-Back,left,2024-03-05,2024-12-31,Nike,reynaldo,514297,,Brazil,Catanduva
Eduardo,Brock,4,1991-05-06,33,1.86,Brazil,Defender - Centre-Back,left,2023-02-19,,,eduardo-brock,435232,,Brazil,Arroio do Meio
,Luciano Castán,40,1989-09-13,34,1.87,Brazil,Defender - Centre-Back,left,2024-01-11,2024-12-31,Nike,luciano-castan,140541,,Brazil,São Paulo
,Neris,27,1992-06-17,31,1.92,Brazil,Defender - Centre-Back,right,2023-01-01,2024-12-31,adidas,neris,349513,,Brazil,Tucuruí
,Rodrigo Bazilio,0,2003-03-06,21,1.9,Brazil,Goalkeeper,right,2023-05-04,2024-11-30,Puma,rodrigo-bazilio,668224,,Brazil,Barra do Garças
,Rafael Cabral,33,1990-05-20,34,1.86,Brazil,Goalkeeper,right,2024-04-19,2024-12-31,Mizuno,rafael-cabral,103916,,Brazil,Sorocaba
,Anderson,98,1998-03-05,26,1.9,Brazil,Goalkeeper,right,2023-01-01,2025-12-31,Nike,anderson,598974,,Brazil,Ribeirão Pires
,Rodrigo Varanda,65,2003-01-11,21,1.8,Brazil,Attack - Right Winger,right,2024-01-01,2026-12-31,,rodrigo-varanda,668237,,Brazil,Guarulhos
,Renato Kayzer,79,1996-02-17,28,1.76,Brazil,Attack - Centre-Forward,right,2022-02-09,2025-12-31,Nike,renato-kayzer,404321,,Brazil,Jotaesse
,Luan,28,2002-03-19,22,1.75,Brazil,Attack - Right Winger,right,2023-08-18,2024-06-30,Nike,luan,819249,,Brazil,Marília
,Dadá Belmonte,0,1997-02-08,27,1.72,Brazil,Attack - Right Winger,right,2024-01-10,2025-12-31,,dada-belmonte,546253,,Brazil,São José do Belmonte
,Adyson,44,2005-09-22,18,1.68,Brazil,Attack - Left Winger,left,2023-01-01,2025-12-31,,adyson,977467,,Brazil,Coroatá
,Yago Souza,7,2006-02-11,18,,Brazil,Midfield - Attacking Midfield,,2023-01-01,,,yago-souza,1085188,,,
,Mateus Gonçalves,23,1994-09-28,29,1.72,Brazil,Attack - Left Winger,right,2023-06-22,2024-12-31,,mateus-goncalves,352890,,Brazil,Belo Horizonte
,Everaldo,37,1994-05-28,29,1.72,Brazil,Attack - Left Winger,right,2024-01-23,2025-12-31,adidas,everaldo,388397,,Brazil,Olinda
,Felipe Azevedo,11,1987-01-10,37,1.74,Brazil,Attack - Left Winger,left,2019-01-01,2024-12-31,,felipe-azevedo,75111,,Brazil,Ubatuba
,Paulinho Bóia,0,1998-06-26,25,1.71,Brazil,Attack - Left Winger,right,2024-01-03,2024-06-30,adidas,paulinho-boia,544895,,Brazil,Gama
,Gabriel Mesquita,0,1998-09-14,25,1.97,Brazil,Goalkeeper,right,2024-01-01,2024-11-30,,gabriel-mesquita,645897,,Brazil,Maceió
Emmanuel,Martínez,8,1994-06-04,29,1.69,Argentina,Midfield - Attacking Midfield,right,2024-04-09,2027-06-30,Puma,emmanuel-martinez,360526,,Argentina,Tandil
,Matheusinho,17,1998-02-11,26,1.64,Brazil,Midfield - Attacking Midfield,right,2024-04-09,2024-12-31,,matheusinho,401533,,Brazil,Belo Horizonte
,Rodriguinho,75,2003-06-05,20,1.7,Brazil,Midfield - Central Midfield,left,2023-01-01,2024-12-31,,rodriguinho,977463,,Brazil,Contagem
,Yago Santos,8,2003-04-03,21,1.82,Brazil,Midfield - Central Midfield,left,2023-03-02,,adidas,yago-santos,900203,,Brazil,Santos
Martín,Benítez,10,1994-06-17,29,1.75,Argentina,Midfield - Attacking Midfield,right,2023-01-01,2025-12-31,,martin-benitez,189418,,Argentina,Posadas
Juan,Cazares,36,1992-04-03,32,1.71,Ecuador,Midfield - Attacking Midfield,right,2024-01-04,2024-12-31,Nike,juan-cazares,146367,,Ecuador,Quinindé
,Rafa Barcelos,14,2004-01-25,20,,Brazil,Midfield - Defensive Midfield,right,2022-01-01,,,rafa-barcelos,1085182,,Brazil,Contagem
,Kauã Diniz,15,2004-03-07,20,,Brazil,Midfield - Defensive Midfield,,2022-01-01,,,kaua-diniz,1086631,,Brazil,Sete Lagoas
,Breno Lemos,80,2003-09-25,20,1.83,Brazil,Midfield - Defensive Midfield,right,2024-01-15,,,breno-lemos,1085060,,Brazil,Rio de Janeiro
,Lucas Kal,0,1996-03-16,28,1.86,Brazil,Midfield - Defensive Midfield,right,2024-02-19,2024-12-31,,lucas-kal,435489,,Brazil,Campinas
Javier,Méndez,23,1994-12-05,29,1.84,Uruguay,Midfield - Defensive Midfield,right,2024-01-10,2024-12-31,,javier-mendez,285772,,Uruguay,Montevideo
,Alê,16,1990-06-06,33,1.84,Brazil,Midfield - Defensive Midfield,right,2020-01-01,2025-12-31,,aletm,543614,,Brazil,Osasco
,Juninho,8,1987-10-23,36,1.73,Brazil,Midfield - Defensive Midfield,right,2017-02-06,2024-12-31,,juninho,271187,,Brazil,Goiânia
,Samuel Alves,2,2004-01-08,20,1.78,Brazil,Defender - Right-Back,right,,2025-12-31,,samuel-alves,997863,,Brazil,Betim
,Mateus Henrique,36,2002-10-02,21,1.78,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,,mateus-henrique,977471,,Brazil,Salinas
,Nino Paraíba,0,1986-01-10,38,1.68,Brazil,Defender - Right-Back,right,2023-09-01,,,nino-paraiba,72451,,Brazil,Rio Tinto
,Paulinho,0,2004-06-29,19,,Brazil,Defender - Left-Back,,2022-01-01,,,paulinho,1082692,,Brazil,Ribeirão Preto
,Arthur,13,2003-03-17,21,1.74,Brazil,Defender - Right-Back,right,2023-07-01,2028-06-30,Puma,arthur,977464,,Brazil,Belo Horizonte
,Nicolas,30,1997-02-24,27,1.81,Brazil,Defender - Left-Back,left,2023-01-01,2025-12-31,,nicolas,442258,,Brazil,Arapongas
,Jonathan,23,2003-02-12,21,1.8,Brazil,Defender - Centre-Back,right,2022-03-31,,,jonathan,813119,,Brazil,Guarulhos
,Marcinho,2,1996-05-16,28,1.8,Brazil,Defender - Right-Back,right,2024-02-22,2024-06-30,,marcinho,432967,,Brazil,Rio de Janeiro
,Ricardo Silva,45,1992-08-13,31,1.9,Brazil,Defender - Centre-Back,right,2022-07-03,2024-12-31,,ricardo-silva,206097,,Brazil,São José do Seridó
,Wanderson,0,1991-02-07,33,1.86,Brazil,Defender - Centre-Back,right,2024-01-16,2024-11-30,,wanderson,316067,,Brazil,Vitória da Conquista
,Marlon Lopes,6,1994-02-13,30,1.77,Brazil,Defender - Left-Back,left,2022-01-24,2025-12-31,,marlon-lopes,443721,,Brazil,Angra dos Reis
,Júlio,18,2003-09-28,20,1.86,Brazil,Defender - Centre-Back,right,2023-02-01,2027-12-31,,julio,985345,,Brazil,Raposos
,Iago Maidana,36,1996-02-06,28,1.95,Brazil,Defender - Centre-Back,right,2024-02-09,2024-12-31,,iago-maidana,348261,,Brazil,Criciúma
,Natan Sales,0,2003-02-26,21,2.0,Brazil,Goalkeeper,right,2023-08-02,,Nike,natan-sales,837712,,Brazil,Itaobim
Esteban,Burgos,6,1992-01-09,32,1.91,Argentina,Defender - Centre-Back,right,2024-02-10,2024-12-31,,esteban-burgos,337922,,Argentina,Salta
Mateus,Pasinato,14,1992-06-28,31,1.92,Brazil,Goalkeeper,right,2024-01-10,2026-12-31,,mateus-pasinato,349418,,Brazil,Concórdia
,Robson,0,2000-07-09,23,1.87,Brazil,Goalkeeper,right,2024-04-12,,,robson,902033,,Brazil,Cordeiro
,Matheus Cavichioli,26,1986-07-27,37,1.92,Brazil,Goalkeeper,right,2024-03-14,,,matheus-cavichioli,54274,,Brazil,Caçador
,Danilo Avelar,0,1989-06-09,34,1.85,Brazil,Defender - Left-Back,left,2024-02-05,,,danilo-avelar,140748,,Brazil,Paranavaí
,Jori,12,1996-03-15,28,1.9,Brazil,Goalkeeper,right,2017-01-01,2025-12-31,,jori,429799,,Brazil,Periquito
Juan Martín,Lucero,9,1991-10-10,32,1.82,Argentina,Attack - Centre-Forward,right,2023-01-13,2025-12-31,Nike,juan-martin-lucero,162807,,Argentina,Mendoza
Washington,Aguerre,29,1993-04-23,31,1.87,Uruguay,Goalkeeper,right,2024-01-13,2024-12-31,,washington-aguerre,273203,,Uruguay,Artigas
,Éder,33,1995-04-05,29,1.84,Brazil,Defender - Centre-Back,right,2022-01-24,2024-12-31,,eder,375690,,Brazil,Gurupi
,Pikachu,22,1992-06-05,31,1.72,Brazil,Attack - Right Winger,right,2024-01-01,2025-12-31,Nike,pikachu,265660,,Brazil,Belém
,Thiago Galhardo,33,1989-07-20,34,1.83,Brazil,Attack - Centre-Forward,right,2024-04-15,2024-12-31,Puma,thiago-galhardo,186399,,Brazil,São João del Rei
Silvio,Romero,10,1988-07-22,35,1.77,Argentina,Attack - Centre-Forward,right,2024-01-03,2025-12-31,adidas,silvio-romero,88082,,Argentina,Córdoba
Imanol,Machuca,39,2000-01-15,24,1.7,Argentina,Attack - Right Winger,right,2023-07-28,2027-12-31,,imanol-machuca,829968,,Argentina,Roldán
,Pedro Rocha,32,1994-10-01,29,1.75,Brazil,Attack - Left Winger,right,2022-08-12,2024-12-31,Nike,pedro-rocha,362844,,Brazil,Vila Velha
,Romarinho,11,1994-03-01,30,1.68,Brazil,Attack - Right Winger,right,2023-01-01,2026-12-31,Nike,romarinho,267849,,Brazil,Ceará-Mirim
,Moisés,21,1996-09-02,27,1.77,Brazil,Attack - Left Winger,right,2024-01-11,2027-12-31,adidas,moises,788361,,Brazil,Morro da Fumaça
,Amorim,0,2005-05-18,19,1.77,Brazil,Midfield - Attacking Midfield,right,,2027-12-31,,amorim,1082774,,Brazil,Fortaleza
Tomás,Pochettino,7,1996-02-01,28,1.8,Argentina,Midfield - Attacking Midfield,right,2023-01-10,2025-12-31,Nike,tomas-pochettino,348354,,Argentina,Rafaela
,Sammuel,0,2001-12-21,22,1.77,Brazil,Midfield - Central Midfield,left,2024-01-01,2024-12-31,Nike,sammuel,792652,,Brazil,Fortaleza
,Lucas Crispim,10,1994-06-19,29,1.78,Brazil,Midfield - Attacking Midfield,right,2024-01-01,2024-06-30,adidas,lucas-crispim,344626,,Brazil,Brasília
,Zé Welison,17,1995-03-11,29,1.77,Brazil,Midfield - Defensive Midfield,right,2023-01-01,2026-12-31,Nike,ze-welison,323452,,Brazil,São Pedro
,Hércules,35,2000-10-20,23,1.78,Brazil,Midfield - Central Midfield,right,2022-01-01,2026-12-31,Nike,hercules,982617,,Brazil,Jaicós
,Lucas Sasha,88,1990-03-01,34,1.77,Brazil,Midfield - Defensive Midfield,both,2022-07-18,2024-12-31,adidas,lucas-sasha,121986,,Brazil,São Paulo
,Pedro Augusto,28,1997-03-03,27,1.81,Brazil,Midfield - Central Midfield,right,2023-07-13,2024-12-31,,pedro-augusto,594105,,Brazil,Ubá
,Caio Alexandre,19,1999-02-24,25,1.74,Brazil,Midfield - Defensive Midfield,right,2024-01-18,2028-12-31,adidas,caio-alexandre,727751,,Brazil,Duque de Caxias
,Dudu,20,1997-05-30,26,1.75,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,Nike,dudu,476362,,Brazil,Brasília
,Tinga,2,1993-09-01,30,1.79,Brazil,Defender - Right-Back,right,2018-01-01,2026-04-30,adidas,tinga,273442,,Brazil,Porto Alegre
Gonzalo,Escobar,31,1997-03-16,27,1.71,Argentina,Defender - Left-Back,left,2024-04-19,2024-12-31,,gonzalo-escobar,440377,,Argentina,Alejandro Korn
,Habraão,28,2001-06-26,22,1.84,Brazil,Defender - Centre-Back,right,2024-01-01,2024-12-31,adidas,habraao,965630,,Brazil,Além Paraíba
,Bernardo Schappo,0,1999-03-22,25,1.91,Brazil,Defender - Centre-Back,left,2024-01-01,2024-12-31,adidas,bernardo-schappo,699679,,Brazil,Biguaçu
,Bruno Pacheco,6,1991-12-08,32,1.75,Brazil,Defender - Left-Back,left,2023-01-01,2024-12-31,Puma,bruno-pacheco,435163,,Brazil,Araraquara
,Alix,0,1999-11-06,24,1.95,Brazil,Defender - Centre-Back,right,2024-01-05,2026-12-31,,alix,880217,,Brazil,Simões Filho
,Lucas Esteves,16,2000-06-24,23,1.71,Brazil,Defender - Left-Back,left,2024-01-06,2025-12-31,Nike,lucas-esteves,688668,,Brazil,São Paulo
Emanuel,Brítez,19,1992-03-26,32,1.78,Argentina,Defender - Centre-Back,right,2022-07-19,2025-12-31,Nike,emanuel-britez,262851,,Argentina,Santa Fe
Brayan,Ceballos,25,2001-05-24,22,1.89,Colombia,Defender - Centre-Back,right,2023-07-11,2024-12-31,Nike,brayan-ceballos,650863,,Colombia,Santiago de Cali
Tobias,Figueiredo,16,1994-02-02,30,1.88,Portugal,Defender - Centre-Back,right,2024-03-02,2024-12-31,,tobias-figueiredo,122077,,Portugal,Viseu
,João Ricardo,1,1988-09-06,35,1.86,Brazil,Goalkeeper,right,2023-01-01,2024-12-31,adidas,joao-ricardo,270420,,Brazil,Mariano Moro
,Marcelo Benevenuto,4,1996-01-07,28,1.81,Brazil,Defender - Centre-Back,right,2024-02-09,2024-12-31,,marcelo-benevenuto,476339,,Brazil,Resende
Mauricio,Kozlinski,30,1991-06-18,32,1.91,Brazil,Goalkeeper,right,2023-03-20,2024-12-31,Nike,mauricio-kozlinski,438431,,Brazil,Antonio Olinto
,Titi,4,1988-03-12,36,1.88,Brazil,Defender - Centre-Back,left,2021-04-26,2024-12-31,Nike,titi,55250,,Brazil,Pelotas
,Kennedy,0,1999-12-08,24,1.88,Brazil,Goalkeeper,right,2024-01-01,,Nike,kennedy,742022,,Brazil,São Luís
,Fernando Miguel,22,1985-02-02,39,1.91,Brazil,Goalkeeper,left,2024-01-01,2025-12-31,Nike,fernando-miguel,291963,,Brazil,Venâncio Aires
,Bruno Guimarães,0,2002-06-08,21,1.92,Brazil,Goalkeeper,right,,,,bruno-guimaraes,876750,,Brazil,Pontal
,Ryan Luka,0,2003-04-30,21,1.86,Brazil,Attack - Centre-Forward,right,2023-07-31,,,ryan-luka,900456,,Brazil,Além Paraíba
,Pedro,9,1997-06-20,26,1.85,Brazil,Attack - Centre-Forward,right,2021-01-01,2027-12-31,adidas,pedro,432895,,Brazil,Rio de Janeiro
,Luan Polli,27,1993-04-06,31,1.88,Brazil,Goalkeeper,right,2024-03-25,2024-06-30,,luan-polli,273250,,Brazil,Meleiro
,Matheus Gonçalves,20,2005-08-18,18,1.75,Brazil,Attack - Right Winger,left,2023-01-01,2025-12-31,Nike,matheus-goncalves,961046,,Brazil,Rio de Janeiro
,Mateusão,19,2004-04-23,20,1.84,Brazil,Attack - Centre-Forward,right,2023-08-01,,Nike,mateusao,743596,,Brazil,Três Marias
,André Luiz,10,2002-02-23,22,1.85,Brazil,Attack - Centre-Forward,right,2023-09-01,2024-06-30,,andre-luiz,919262,,,
,Gabriel Barbosa,10,1996-08-30,27,1.78,Brazil,Attack - Centre-Forward,left,2020-01-31,2024-12-31,Nike,gabriel-barbosa,244275,,Brazil,São Bernardo do Campo
,Luiz Araújo,7,1996-06-02,27,1.75,Brazil,Attack - Right Winger,left,2023-07-01,2027-12-31,adidas,luiz-araujo,435485,,Brazil,Taquaritinga
,Marinho,11,1990-05-29,33,1.69,Brazil,Attack - Right Winger,left,2023-07-01,2025-12-31,adidas,marinho,74758,,Brazil,Penedo
,Bruno Henrique,27,1990-12-30,33,1.84,Brazil,Attack - Left Winger,right,2019-01-23,2026-12-31,Nike,bruno-henrique,353108,,Brazil,Belo Horizonte
,Petterson,27,2004-01-04,20,1.81,Brazil,Attack - Left Winger,right,2024-01-31,2024-12-31,,petterson,978057,,Brazil,Florianópolis
,Pedrinho,10,2003-04-18,21,1.77,Brazil,Midfield - Attacking Midfield,right,2024-01-31,2024-12-31,,pedrinho,992532,,Brazil,Rio de Janeiro
,Thiaguinho,0,2001-03-13,23,1.7,Brazil,Attack - Right Winger,left,2024-02-18,2024-05-30,,thiaguinho,638305,,Brazil,Recife
,Everton,11,1996-03-22,28,1.74,Brazil,Attack - Left Winger,right,2022-07-18,2026-06-30,Nike,everton,321239,,Brazil,Fortaleza
,Werton,0,2003-09-16,20,1.81,Brazil,Attack - Left Winger,right,2024-01-01,,Nike,werton,902438,,Brazil,Benjamin Constant
,Wallace Yan,0,2005-02-08,19,,Brazil,Midfield - Attacking Midfield,,,,,wallace-yan,1082602,,,
,Victor Hugo,29,2004-05-11,20,1.82,Brazil,Midfield - Attacking Midfield,left,2022-01-01,2028-12-31,Nike,victor-hugo,749559,,Brazil,Rio de Janeiro
,Matheus França,11,2004-04-01,20,1.84,Brazil,Midfield - Attacking Midfield,right,2023-08-05,2028-06-30,Nike,matheus-franca,743597,,Brazil,Rio de Janeiro
,Lorran,19,2006-07-04,17,1.8,Brazil,Midfield - Attacking Midfield,left,2024-01-01,2025-12-31,,lorran,1009030,,Brazil,Rio de Janeiro
,Everton Ribeiro,10,1989-04-10,35,1.74,Brazil,Midfield - Attacking Midfield,left,2024-01-06,2025-12-31,Nike,everton-ribeiro,52896,,Brazil,Arujá
,Rodriguinho,26,2004-04-21,20,,Brazil,Midfield - Central Midfield,,,,,rodriguinho,1082599,,,
Arturo,Vidal,23,1987-05-22,36,1.8,Chile,Midfield - Central Midfield,right,2024-01-23,2024-12-31,Nike,arturo-vidal,37666,,Chile,San Joaquín
,Jean Carlos,18,2004-02-08,20,1.75,Brazil,Midfield - Defensive Midfield,left,2021-12-17,2024-12-31,,jean-carlos,1082600,,Brazil,São Paulo
,Evertton,52,2003-02-28,21,,Brazil,Midfield - Defensive Midfield,,2024-01-01,,,evertton,931007,,,
,Igor Jesus,48,2003-03-07,21,1.79,Brazil,Midfield - Defensive Midfield,right,2023-01-01,2025-12-31,,igor-jesus,978037,,Brazil,Goiânia
,Gerson,8,1997-05-20,27,1.84,Brazil,Midfield - Central Midfield,left,2023-01-01,2027-12-31,Nike,gerson,341705,,Brazil,Belford Roxo
,Rayan Lucas,8,2005-01-03,19,,Brazil,Midfield - Defensive Midfield,,2023-01-01,2028-10-29,,rayan-lucas,1087842,,,
,Thiago Maia,29,1997-03-23,27,1.79,Brazil,Midfield - Defensive Midfield,left,2024-03-07,2024-12-31,adidas,thiago-maia,294873,,Brazil,Boa Vista
Giorgian,de Arrascaeta,14,1994-06-01,29,1.74,Uruguay,Midfield - Attacking Midfield,right,2019-01-12,2026-12-31,Nike,giorgian-de-arrascaeta,248410,,Uruguay,Nuevo Berlín
,Weverson,0,2003-08-11,20,1.86,Brazil,Midfield - Defensive Midfield,left,2023-08-21,,,weverson,868810,,Brazil,Tamandaré
,Daniel Sales,2,2006-06-23,17,,Brazil,Defender - Right-Back,right,,2024-12-31,,daniel-sales,1082609,,,
,Wesley,43,2003-09-06,20,1.73,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,,wesley,964580,,Brazil,Açailândia
Erick,Pulgar,5,1994-01-15,30,1.87,Chile,Midfield - Defensive Midfield,right,2022-07-29,2025-12-31,Nike,erick-pulgar,215616,,Chile,Antofagasta
,Pedro Inácio,0,2005-05-12,19,,Brazil,Defender - Left-Back,,,2024-12-31,,pedro-inacio,1102692,,,
Guillermo,Varela,2,1993-03-24,31,1.73,Uruguay,Defender - Right-Back,right,2023-01-12,2025-12-31,Nike,guillermo-varela,188862,,Uruguay,Montevideo
,José Welinton,0,2004-01-08,20,1.74,Brazil,Defender - Left-Back,left,2021-01-01,2025-12-31,,jose-welinton,1069871,,Brazil,Jardim
,Ramon,23,2001-03-13,23,1.79,Brazil,Defender - Left-Back,left,2024-02-05,2024-12-31,,ramon,663578,,Brazil,São João de Meriti
,Marcos Paulo,0,2003-01-18,21,1.83,Brazil,Defender - Left-Back,left,,,,marcos-paulo,978039,,,
,Matheus França,2,2000-09-08,23,1.71,Brazil,Defender - Right-Back,right,2024-02-16,2028-12-31,adidas,matheus-franca,594226,,Brazil,Londrina
,Filipe Luís,0,1985-08-09,38,1.82,Brazil,Defender - Left-Back,left,2024-01-01,,,filipe-luis,21725,,Brazil,Jaraguá do Sul
,Cleiton,33,2003-04-25,21,1.94,Brazil,Defender - Centre-Back,left,2022-01-01,2025-12-31,adidas,cleiton,943237,,Brazil,Tapeorá
,Ayrton Lucas,6,1997-06-19,26,1.8,Brazil,Defender - Left-Back,left,2023-01-01,2027-12-31,adidas,ayrton-lucas,349585,,Brazil,Carnaúba dos Dantas
,Darlan,13,2004-03-03,20,1.85,Brazil,Defender - Centre-Back,left,,2024-12-31,adidas,darlan,997862,,,
,Diegão,0,2003-07-29,20,1.88,Brazil,Defender - Centre-Back,right,2024-01-01,,,diegao,886563,,,
Gabriel,Noga,2,2002-01-25,22,1.83,Brazil,Defender - Centre-Back,right,2024-01-30,,Nike,gabriel-noga,627215,,Brazil,Volta Redonda
,David Luiz,23,1987-04-22,37,1.89,Brazil,Defender - Centre-Back,right,2021-09-01,2024-12-31,adidas,david-luiz,46741,,Brazil,Diadema
,Fabrício Bruno,15,1996-02-12,28,1.92,Brazil,Defender - Centre-Back,right,2022-02-09,2028-12-31,adidas,fabricio-bruno,432773,,Brazil,Ibirité
,Léo Pereira,4,1996-01-31,28,1.89,Brazil,Defender - Centre-Back,left,2020-01-31,2027-12-31,Nike,leo-pereira,288431,,Brazil,Curitiba
,Rodrigo Caio,0,1993-08-17,30,1.83,Brazil,Defender - Centre-Back,right,2024-01-01,,adidas,rodrigo-caio,172054,,Brazil,Dracena
,Matheus Cunha,25,2001-05-24,22,1.93,Brazil,Goalkeeper,right,2023-01-01,2025-12-31,Nike,matheus-cunha,876739,,Brazil,Tupi Paulista
,Caio Barone,0,2006-05-04,18,1.96,Brazil,Goalkeeper,right,2024-01-01,,,caio-barone,1087860,,,
,Dyogo Alves,20,2004-01-09,20,,Brazil,Goalkeeper,,,2024-12-31,,dyogo-alves,1082543,,,
